Name,Sex,Age,Team,NOC,Year,Season,City,Sport,Event,Medal
Yingfeng Bao,M,33,People's Republic of China,CHN,2020,Summer,Tokyo,Equestrian,Eventing Team,
Yingfeng Bao,M,33,People's Republic of China,CHN,2020,Summer,Tokyo,Equestrian,Eventing Individual,
Luisa Baptista,F,27,Brazil,BRA,2020,Summer,Tokyo,Triathlon,Women's Individual,
Messias Baptista,M,22,Portugal,POR,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Four 500m,
Kelly-Ann Baptiste,F,34,Trinidad and Tobago,TTO,2020,Summer,Tokyo,Athletics,Women's 100m,
Kelly-Ann Baptiste,F,34,Trinidad and Tobago,TTO,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay,
Talita Baqlah,F,25,Jordan,JOR,2020,Summer,Tokyo,Swimming,Women's 50m Freestyle,
Elsa Mcmillan Baquerizo,F,34,Spain,ESP,2020,Summer,Tokyo,Beach Volleyball,Women,
Noya Am Bar,F,24,Israel,ISR,2020,Summer,Tokyo,Sailing,Women's Two Person Dinghy - 470,
Manuel Juan Bar,M,34,Argentina,ARG,2020,Summer,Tokyo,Handball,Men,
Mykyta Barabanov,M,20,Ukraine,UKR,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Hanna Barakat,F,21,Palestine,PLE,2020,Summer,Tokyo,Athletics,Women's 100m,
Anna Baranchuk,F,27,ROC,ROC,2020,Summer,Tokyo,Rugby Sevens,Women,
Denisa Barankova,F,19,Slovakia,SVK,2020,Summer,Tokyo,Archery,Women's Individual,
Varvara Baranova,F,25,ROC,ROC,2020,Summer,Tokyo,Canoe Sprint,Women's Kayak Double 500m,
Fabian Baranski,M,22,Poland,POL,2020,Summer,Tokyo,Rowing,Men's Quadruple Sculls,
Ana Barbachan,F,31,Brazil,BRA,2020,Summer,Tokyo,Sailing,Women's Two Person Dinghy - 470,
Morgan Barbancon,F,28,France,FRA,2020,Summer,Tokyo,Equestrian,Dressage Team,
Morgan Barbancon,F,28,France,FRA,2020,Summer,Tokyo,Equestrian,Dressage Individual,
Barbara,F,33,Brazil,BRA,2020,Summer,Tokyo,Football,Women,
Lisa Barbelin,F,21,France,FRA,2020,Summer,Tokyo,Archery,Women's Individual,
Lisa Barbelin,F,21,France,FRA,2020,Summer,Tokyo,Archery,Mixed Team,
Kelsey-Lee Barber,F,29,Australia,AUS,2020,Summer,Tokyo,Athletics,Women's Javelin Throw,Bronze
Orlando Edwin Mercado Barberena,M,22,Nicaragua,NCA,2020,Summer,Tokyo,Shooting,10m Air Pistol Men,
Rachele Barbieri,F,24,Italy,ITA,2020,Summer,Tokyo,Cycling Track,Women's Team Pursuit,
Eduardo Barbosa,M,29,Brazil,BRA,2020,Summer,Tokyo,Judo,Men -73 kg,
Eduardo Barbosa,M,29,Brazil,BRA,2020,Summer,Tokyo,Judo,Mixed Team,
Bryan Kurt Barbosa,M,22,Philippines,PHI,2020,Summer,Tokyo,Taekwondo,Men -58kg,
Paula Martin Barcelo,F,25,Spain,ESP,2020,Summer,Tokyo,Sailing,Women's Skiff - 49er FX,
Esequiel Barco,M,22,Argentina,ARG,2020,Summer,Tokyo,Football,Men,
Melvin Bard,M,20,France,FRA,2020,Summer,Tokyo,Football,Men,
Virginia Martin Bardach,F,29,Argentina,ARG,2020,Summer,Tokyo,Swimming,Women's 400m Individual Medley,
Alexandre Bardenet,M,31,France,FRA,2020,Summer,Tokyo,Fencing,Men's Épée Individual,
Alexandre Bardenet,M,31,France,FRA,2020,Summer,Tokyo,Fencing,Men's Épée Team,
Felipe Bardi,M,22,Brazil,BRA,2020,Summer,Tokyo,Athletics,Men's 100m,
Felipe Bardi,M,22,Brazil,BRA,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay,
Selemon Barega,M,21,Ethiopia,ETH,2020,Summer,Tokyo,Athletics,"Men's 10,000m",Gold
Elinor Barker,F,26,Great Britain,GBR,2020,Summer,Tokyo,Cycling Track,Women's Team Pursuit,Silver
